latitude,longitude,name,comments,rating,cp
19.3599485,-99.1831651,Oxxo,15.0,3.7,1010
19.3661807,-99.1784482,OXXO Mixcoac Valle,13.0,2.6,1010
19.3723777,-99.2068938,OXXO,120.0,3.2,1010
19.3694779,-99.1735051,OXXO,51.0,3.6,1010
19.3728872,-99.1993382,Oxxo,13.0,2.7,1010
19.362687,-99.1807173,Oxxo Camelia,10.0,3.8,1010
19.3857135,-99.1863205,OXXO,9.0,2.1,1010
19.368344,-99.1794992,Oxxo Jabali,7.0,3.0,1010
19.341728,-99.1814947,Oxxo,32.0,3.1,1010
19.3703722,-99.1838954,OXXO RIO Mixcoac 50MXU,6.0,3.8,1010
19.3715152,-99.188492,Oxxo,35.0,3.2,1010
19.3352243,-99.2137173,Oxxo Luis Hidalgo,24.0,2.5,1010
19.3808902,-99.1812507,OXXO,18.0,3.6,1010
19.3580665,-99.1844114,Oxxo Villa nueva,5.0,1.8,1020
19.3537529,-99.1899374,OXXO Helenico,4.0,4.3,1020
19.3609272,-99.1852465,Oxxo,15.0,3.0,1020
19.3516214,-99.1859118,OXXO,9.0,3.0,1020
19.3581501,-99.1901391,OXXO Campestre revolución,9.0,3.9,1020
19.3599485,-99.1831651,Oxxo,15.0,3.7,1020
19.3655803,-99.1886634,OXXO Mercaderes,5.0,3.8,1020
19.3483164,-99.1855199,Oxxo La Paz,13.0,3.5,1020
19.3675747,-99.1888702,Oxxo,12.0,3.8,1020
19.362687,-99.1807173,Oxxo Camelia,10.0,3.8,1020
19.3626356,-99.1916518,Oxxo Periférico,80.0,3.9,1020
19.3514102,-99.178246,OXXO,10.0,3.2,1020
19.3661807,-99.1784482,OXXO Mixcoac Valle,13.0,2.6,1020
19.363106,-99.1908927,OXXO,6.0,3.8,1020
19.3671076,-99.1920201,Oxxo Ocaranza,27.0,3.9,1020
19.3688312,-99.1807399,OXXO Plaza manacar,7.0,2.7,1020
19.3671843,-99.1813912,Oxxo San Jose,9.0,2.7,1020
19.368344,-99.1794992,Oxxo Jabali,7.0,3.0,1020
19.3703722,-99.1838954,OXXO RIO Mixcoac 50MXU,6.0,3.8,1020
19.3715169,-99.1869525,OXXO Sagredo,10.0,3.0,1020
19.3715152,-99.188492,Oxxo,35.0,3.2,1020
19.3569661,-99.1989753,Oxxo Zamora,12.0,3.3,1020
19.3694779,-99.1735051,OXXO,51.0,3.6,1020
19.3659838,-99.1978044,Oxxo Anaya,63.0,3.8,1020
19.3725636,-99.1933092,Oxxo,31.0,3.9,1020
19.3753798,-99.1866935,Oxxo EXTREMADURA,10.0,3.5,1020
19.3647291,-99.1954175,Oxxo Plateros,54.0,3.5,1020
19.3364722,-99.1929639,Oxxo Revolucion CU,32.0,3.4,1020
19.3661986,-99.1770963,Oxxo,40.0,3.1,1020
19.3731812,-99.1868945,Oxxo Goya,1.0,5.0,1020
19.3456998,-99.1746496,Oxxo,67.0,4.1,1020
19.3390457,-99.192184,Oxxo Altamirano Valle,4.0,2.0,1020
19.3625408,-99.1963994,OXXO,11.0,2.8,1020
19.3455093,-99.1879747,Oxxo Chimalistac,18.0,4.1,1020
19.3751154,-99.1827668,Oxxo Rodin,25.0,2.0,1020
19.3653662,-99.2022076,Oxxo Merced Gómez,6.0,3.3,1020
19.341728,-99.1814947,Oxxo,32.0,3.1,1020
19.3383994,-99.1950067,Oxxo,12.0,3.1,1020
19.3516214,-99.1859118,OXXO,9.0,3.0,1030
19.3599485,-99.1831651,Oxxo,15.0,3.7,1030
19.3556489,-99.1742501,Oxxo,9.0,3.3,1030
19.3514102,-99.178246,OXXO,10.0,3.2,1030
19.362687,-99.1807173,Oxxo Camelia,10.0,3.8,1030
19.3661807,-99.1784482,OXXO Mixcoac Valle,13.0,2.6,1030
19.3580665,-99.1844114,Oxxo Villa nueva,5.0,1.8,1030
19.3559455,-99.1740693,Oxxo Cinco De Mayo,3.0,4.0,1030
19.3539306,-99.175675,Oxxo Parque Viveros,1.0,4.0,1030
19.3593067,-99.1707288,Oxxo Valle coyoacan,6.0,4.5,1030
19.3661986,-99.1770963,Oxxo,40.0,3.1,1030
19.3483164,-99.1855199,Oxxo La Paz,13.0,3.5,1030
19.3609272,-99.1852465,Oxxo,15.0,3.0,1030
19.368344,-99.1794992,Oxxo Jabali,7.0,3.0,1030
19.3537529,-99.1899374,OXXO Helenico,4.0,4.3,1030
19.3694779,-99.1735051,OXXO,51.0,3.6,1030
19.3581501,-99.1901391,OXXO Campestre revolución,9.0,3.9,1030
19.3688312,-99.1807399,OXXO Plaza manacar,7.0,2.7,1030
19.3703722,-99.1838954,OXXO RIO Mixcoac 50MXU,6.0,3.8,1030
19.3666472,-99.1676824,Oxxo José María rico,30.0,3.5,1030
19.3581501,-99.1901391,OXXO Campestre revolución,9.0,3.9,1040
19.3516214,-99.1859118,OXXO,9.0,3.0,1040
19.3625408,-99.1963994,OXXO,11.0,2.8,1040
19.3599485,-99.1831651,Oxxo,15.0,3.7,1040
19.3569661,-99.1989753,Oxxo Zamora,12.0,3.3,1040
19.3661807,-99.1784482,OXXO Mixcoac Valle,13.0,2.6,1040
19.3715152,-99.188492,Oxxo,35.0,3.2,1040
19.3514102,-99.178246,OXXO,10.0,3.2,1040
19.3626356,-99.1916518,Oxxo Periférico,80.0,3.9,1040
19.3400074,-99.1996131,OXXO,14.0,3.4,1040
19.368344,-99.1794992,Oxxo Jabali,7.0,3.0,1040
