latitude,longitude,name,comments,rating,cp
19.4650162,-99.1803736,Oxxo Clavería,18,3.7,11340
19.4548353,-99.1553594,Oxxo,7,2.9,11340
19.4394981,-99.1539673,OXXO Metro Revolución,2,4.5,11340
19.4734477,-99.1483157,OXXO,20,3.1,11340
19.4393637,-99.159395,Oxxo,22,3.8,11340
19.4288221,-99.1684585,Oxxo Rio Tíber,22,2.4,11340
19.4625094,-99.1784694,Oxxo Egipto,10,3.1,11340
19.4321424,-99.1821094,Oxxo Spencer,9,2.4,11340
19.4400381,-99.1485339,Oxxo mina I,12,3.2,11340
19.4485064,-99.1562344,Oxxo,31,2.7,11340
19.4265881,-99.1733645,Oxxo Duero,18,3.1,11340
19.4711275,-99.1590456,Oxxo,59,4.1,11340
19.4481738,-99.1522616,Oxxo,1,3.7,11340
19.4370794,-99.1494749,Oxxo,5,3.4,11340
19.4500977,-99.146546,Oxxo,50,3.4,11340
19.4290366,-99.170579,OXXO Guadalquivir,14,2.9,11340
19.4587322,-99.1849483,Oxxo Mar,106,3.9,11340
19.4430399,-99.1923172,OXXO Lago Hielmar,17,2.6,11340
19.4357407,-99.1830782,Oxxo,8,3.4,11340
19.4309228,-99.1566717,OXXO Milán,17,3.8,11340
19.439476,-99.1554,OXXO Ezequiel Montes,9,3.8,11340
19.4318397,-99.177094,OXXO Shakespeare,9,3.7,11340
19.4381474,-99.1648031,OXXO Guillermo Prieto,22,2.9,11340
19.4346481,-99.1589689,OXXO Sadi Carnot,29,2.6,11340
19.4412245,-99.1548147,Oxxo Ferrocarrileros,78,4.0,11340
19.4363416,-99.1790899,Oxxo Bahía de San Hipólito,6,4.0,11340
19.4289439,-99.1592599,Oxxo Dinamarca,61,4.0,11340
19.4702428,-99.1786906,OXXO Salonica,374,3.9,11340
19.4588057,-99.1968383,OXXO Lago Superior,6,3.7,11340
19.4375804,-99.1880746,Oxxo Hegel,26,3.2,11340
19.4687276,-99.1762772,Oxxo,5,2.6,11340
19.4295801,-99.1579118,Oxxo,12,4.1,11340
19.4326957,-99.1523121,OXXO Abraham Gonzales,2,3.0,11340
19.4451462,-99.1472471,OXXO MOSQUETA,11,2.6,11340
19.4382142,-99.1905729,Oxxo,27,2.6,11340
19.4434782,-99.183762,OXXO,2,3.0,11340
19.4624604,-99.1883411,Oxxo Tehuantepec,25,3.2,11340
19.4276597,-99.1762207,Oxxo Descartes,72,3.7,11340
19.4575971,-99.1448261,Oxxo,28,3.2,11340
19.4371977,-99.153686,OXXO Revolución,25,2.4,11340
