latitude,longitude,name,comments,rating,Address,Neighborhood,City,Postal,Subregion,Region,Bajo,Medio Bajo,Medio Alto,Alto
19.4207083,-99.0944132,Oxxo Aviacion II,3.0,4.3,Aviación Civil 15,Aeropuerto,Industrial Puerto Aéreo,15710,venustiano carranza,ciudad de méxico,,27,83,
19.4201159,-99.0874137,Oxxo Poder Ejecutivo,156.0,3.9,Plaza Poder Ejecutivo,Aeropuerto,Federal,15700,venustiano carranza,ciudad de méxico,,27,83,
19.4039021,-99.0596243,Oxxo Ambar,110.0,3.5,Calle 6,Aeropuerto,Agrícola Pantitlán,08100,iztacalco,ciudad de méxico,,32,35,20
19.4138221,-99.0868662,Oxxo,15.0,3.5,Calzada Ignacio Zaragoza,Aeropuerto,General Ignacio Zaragoza,15000,venustiano carranza,ciudad de méxico,,27,83,
19.4105231,-99.0649111,Oxxo Av. Norte,49.0,3.6,Calle 3 172,Aeropuerto,Agrícola Pantitlán,08100,iztacalco,ciudad de méxico,,32,35,20
19.4028092,-99.0655612,OXXO Calle 3,17.0,3.9,Calle 3 9,Aeropuerto,Agrícola Pantitlán,08100,iztacalco,ciudad de méxico,,32,35,20
19.4121704,-99.089206,Oxxo,14.0,4.1,General Francisco Morazán 214,Aeropuerto,General Ignacio Zaragoza,15000,venustiano carranza,ciudad de méxico,,27,83,
19.4044621,-99.0386844,Oxxo Av México,17.0,4.1,Avenida Pantitlán,,Las Fuentes,57600,nezahualcoyotl,méxico,,139,32,5
19.4175771,-99.0972343,Oxxo Avenida - 6,11.0,4.4,Boulevard Puerto Aéreo,Aeropuerto,Valentín Gómez Farias,15010,venustiano carranza,ciudad de méxico,,27,83,
19.4116111,-99.0925,OXXO Avenida 12,29.0,3.3,Avenida 12,Aeropuerto,General Ignacio Zaragoza,15000,venustiano carranza,ciudad de méxico,,27,83,
19.4162555,-99.0910977,Oxxo,11.0,3.5,Calle 29 1B,Aeropuerto,Valentín Gómez Farias,15010,venustiano carranza,ciudad de méxico,,27,83,
19.417577,-99.0400194,Oxxo,31.0,3.1,Avenida Vicente Riva Palacio 195,,Central,57500,nezahualcoyotl,méxico,,139,32,5
19.4652279,-99.0668598,Oxxo Puerto Rubi,82.0,3.9,Avenida 412 322,Aeropuerto,San Juan de Aragón IV Sección,07918,gustavo a madero,ciudad de méxico,,,,
19.4186752,-99.1060253,Oxxo Jardín Balbuena II,2.0,4.5,Retorno 8 Fray S. T. de Mier,Aeropuerto,Jardín Balbuena,15900,venustiano carranza,ciudad de méxico,,27,83,
19.4456249,-99.105794,Oxxo Choferes,2.0,5.0,Choferes 98,Aeropuerto,20 de Noviembre,15300,venustiano carranza,ciudad de méxico,,27,83,
19.3961353,-99.066149,OXXO ARQUELES,424.0,4.0,Avenida Sur 12,Aeropuerto,Agrícola Oriental,08500,iztacalco,ciudad de méxico,,32,35,20
19.4172241,-99.1026671,OXXO,24.0,3.8,Avenida Fray Servando Teresa de Mier 961,Aeropuerto,Jardín Balbuena,15900,venustiano carranza,ciudad de méxico,,27,83,
19.4154445,-99.0949323,Oxxo Morazan,560.0,3.9,General Francisco Morazán,Aeropuerto,Valentín Gómez Farias,15010,venustiano carranza,ciudad de méxico,,27,83,
19.4157291,-99.0357255,OXXO,249.0,4.0,Calle Lago Suiza 201,,Agua Azul,57500,nezahualcoyotl,méxico,,139,32,5
19.3916489,-99.0923496,Oxxo,4.0,2.5,Sur 175,,Gabriel Ramos Millán Secc Bramadero,08000,iztacalco,ciudad de méxico,,32,35,20
19.393627,-99.0896558,Oxxo Ola verde,23.0,3.6,Sur 187,Aeropuerto,Ex-Ejido de la Magdalena Mixiuhca,08010,iztacalco,ciudad de méxico,,32,35,20
19.3867735,-99.0866587,Oxxo Paseos de churubusco,10.0,4.1,Río Mezcalapa,,Los Paseos de Churubusco,09030,iztapalapa,ciudad de méxico,,193,109,24
19.3949354,-99.1018349,Oxxo Tlacotal,96.0,3.0,Oriente 100A 2302,,Gabriel Ramos Millán,08730,iztacalco,ciudad de méxico,,32,35,20
19.3916526,-99.0923528,Oxxo Oriente 106,115.0,3.8,Sur 175,,Gabriel Ramos Millán Secc Bramadero,08000,iztacalco,ciudad de méxico,,32,35,20
19.3812447,-99.0796369,OXXO Cabrera,7.0,4.3,Calle Canal del Embarcadero,,Central de Abastos,09040,iztapalapa,ciudad de méxico,,193,109,24
19.3748056,-99.0889135,OXXO HORTALIZAS,6.0,2.0,Frutas y Legumbres,,Central de Abastos,09040,iztapalapa,ciudad de méxico,,193,109,24
19.3824681,-99.0869071,Oxxo,14.0,3.9,Avenida Canal de Tezontle,,Central de Abastos,09040,iztapalapa,ciudad de méxico,,193,109,24
19.3849546,-99.0870153,Oxxo Tuxpan,6.0,4.7,Avenida Río Tuxpan 104,,Los Paseos de Churubusco,09030,iztapalapa,ciudad de méxico,,193,109,24
19.3993738,-99.1030633,Oxxo cafetal,17.0,3.9,Cafetal,Aeropuerto,Granjas México,08400,iztacalco,ciudad de méxico,,32,35,20
19.4038727,-99.0784118,Oxxo Río Parral,34.0,3.2,Avenida Sur 4,Aeropuerto,Agrícola Oriental,08500,iztacalco,ciudad de méxico,,32,35,20
19.4014062,-99.0932688,Oxxo Resina,7.0,2.0,Resina 239,Aeropuerto,Granjas México,08400,iztacalco,ciudad de méxico,,32,35,20
19.380249,-99.0876083,Oxxo,54.0,3.9,Eje 5 Sur,,Central de Abastos,09040,iztapalapa,ciudad de méxico,,193,109,24
19.3730862,-99.0758524,OXXO Canal del Moral,14.0,3.1,Calle Vicente Guerrero 8,,Guadalupe del Moral,09300,iztapalapa,ciudad de méxico,,193,109,24
19.3781314,-99.0721522,Oxxo Leyes de Reforma,7.0,4.4,Eje 5 Sur,,Leyes de Reforma 3ra Sección,09310,iztapalapa,ciudad de méxico,,193,109,24
19.3937839,-99.0816101,OXXO AMATISTA,36.0,3.3,Oriente 229 379,Aeropuerto,Agrícola Oriental,08500,iztacalco,ciudad de méxico,,32,35,20
19.3747449,-99.0787097,Oxxo Mayorista,10.0,3.9,Eje 5 Oriente 627,,Central de Abastos,09040,iztapalapa,ciudad de méxico,,193,109,24
19.3870236,-99.0626759,Oxxo Rubi,24.0,3.9,Sur 22 231,Aeropuerto,Agrícola Oriental,08500,iztacalco,ciudad de méxico,,32,35,20
19.3828663,-99.0610311,OXXO,12.0,3.6,Canal de San Juan,Aeropuerto,Agrícola Oriental,08500,iztacalco,ciudad de méxico,,32,35,20
19.3970881,-99.0702679,OXXO Quiróz,63.0,3.5,Avenida Sur 12,Aeropuerto,Agrícola Oriental,08500,iztacalco,ciudad de méxico,,32,35,20
19.3907895,-99.0800363,Oxxo Rio Frio,18.0,2.8,Oriente 233 507,Aeropuerto,Agrícola Oriental,08500,iztacalco,ciudad de méxico,,32,35,20
19.3551564,-99.0770708,Oxxo San Miguel,32.0,3.3,Avenida Miguel Hidalgo,,Barrio San Miguel,09360,iztapalapa,ciudad de méxico,,193,109,24
19.3989422,-99.0669119,Oxxo geranio II,103.0,3.8,Oriente 249,Aeropuerto,Agrícola Oriental,08500,iztacalco,ciudad de méxico,,32,35,20
