State ID,State,Municipality ID,Municipality,Academic Degree ID,Academic Degree,Population
15,Estado de México,15103,Tlalmanalco,2,Primaria,21766
15,Estado de México,15057,Naucalpan de Juárez,5,Bachillerato Tecnológico o Normal Básica,21714
9,Ciudad de México,9002,Azcapotzalco,0,Ninguno,21674
15,Estado de México,15096,Tequixquiac,3,Secundaria,21628
9,Ciudad de México,9015,Cuauhtémoc,7,Estudios Técnicos o Comerciales con Secundaria Terminada,21604
15,Estado de México,15031,Chimalhuacán,5,Bachillerato Tecnológico o Normal Básica,21579
15,Estado de México,15057,Naucalpan de Juárez,8,Estudios Técnicos o Comerciales con Preparatoria Terminada,21405
15,Estado de México,15065,Otumba,3,Secundaria,21191
15,Estado de México,15026,Chapa de Mota,2,Primaria,21075
15,Estado de México,15052,Malinalco,2,Primaria,20949
15,Estado de México,15023,Coyotepec,2,Primaria,20874
15,Estado de México,15062,Ocoyoacac,4,Preparatoria o Bachillerato General,20855
9,Ciudad de México,9014,Benito Juárez,0,Ninguno,20834
15,Estado de México,15065,Otumba,2,Primaria,20760
9,Ciudad de México,9017,Venustiano Carranza,0,Ninguno,20735
15,Estado de México,15045,Jilotepec,4,Preparatoria o Bachillerato General,20580
9,Ciudad de México,9004,Cuajimalpa de Morelos,0,Ninguno,20443
9,Ciudad de México,9008,La Magdalena Contreras,0,Ninguno,20406
15,Estado de México,15118,Zinacantepec,1,Preescolar o Kínder,20200
15,Estado de México,15064,El Oro,3,Secundaria,20181
15,Estado de México,15099,Texcoco,0,Ninguno,20136
15,Estado de México,15109,Tultitlán,5,Bachillerato Tecnológico o Normal Básica,20075
15,Estado de México,15019,Capulhuac,3,Secundaria,20060
15,Estado de México,15063,Ocuilan,3,Secundaria,20014
15,Estado de México,15121,Cuautitlán Izcalli,7,Estudios Técnicos o Comerciales con Secundaria Terminada,19998
15,Estado de México,15009,Amecameca,4,Preparatoria o Bachillerato General,19997
9,Ciudad de México,9008,La Magdalena Contreras,1,Preescolar o Kínder,19993
9,Ciudad de México,9014,Benito Juárez,7,Estudios Técnicos o Comerciales con Secundaria Terminada,19931
9,Ciudad de México,9006,Iztacalco,5,Bachillerato Tecnológico o Normal Básica,19880
15,Estado de México,15076,San Mateo Atenco,11,Licenciatura,19599
15,Estado de México,15015,Atlautla,2,Primaria,19546
15,Estado de México,15014,Atlacomulco,11,Licenciatura,19457
15,Estado de México,15067,Otzolotepec,4,Preparatoria o Bachillerato General,19407
9,Ciudad de México,9014,Benito Juárez,8,Estudios Técnicos o Comerciales con Preparatoria Terminada,19405
9,Ciudad de México,9006,Iztacalco,0,Ninguno,19403
15,Estado de México,15005,Almoloya de Juárez,11,Licenciatura,19276
15,Estado de México,15090,Tenango del Valle,4,Preparatoria o Bachillerato General,19236
15,Estado de México,15080,Sultepec,2,Primaria,19190
15,Estado de México,15101,Tianguistenco,4,Preparatoria o Bachillerato General,19108
15,Estado de México,15123,Luvianos,2,Primaria,19048
9,Ciudad de México,9015,Cuauhtémoc,8,Estudios Técnicos o Comerciales con Preparatoria Terminada,19035
15,Estado de México,15095,Tepotzotlán,11,Licenciatura,19021
15,Estado de México,15054,Metepec,1,Preescolar o Kínder,18981
15,Estado de México,15053,Melchor Ocampo,4,Preparatoria o Bachillerato General,18578
15,Estado de México,15008,Amatepec,2,Primaria,18483
15,Estado de México,15029,Chicoloapan,1,Preescolar o Kínder,18222
9,Ciudad de México,9006,Iztacalco,7,Estudios Técnicos o Comerciales con Secundaria Terminada,18202
15,Estado de México,15043,Xalatlaco,3,Secundaria,18065
15,Estado de México,15035,Huehuetoca,11,Licenciatura,18029
15,Estado de México,15020,Coacalco de Berriozábal,5,Bachillerato Tecnológico o Normal Básica,18028
9,Ciudad de México,9017,Venustiano Carranza,7,Estudios Técnicos o Comerciales con Secundaria Terminada,17982
15,Estado de México,15015,Atlautla,3,Secundaria,17977
15,Estado de México,15042,Ixtlahuaca,11,Licenciatura,17971
15,Estado de México,15040,Ixtapan de la Sal,3,Secundaria,17962
15,Estado de México,15043,Xalatlaco,2,Primaria,17952
15,Estado de México,15086,Temascaltepec,3,Secundaria,17938
15,Estado de México,15018,Calimaya,4,Preparatoria o Bachillerato General,17934
15,Estado de México,15093,Tepetlaoxtoc,3,Secundaria,17932
15,Estado de México,15016,Axapusco,2,Primaria,17918
15,Estado de México,15019,Capulhuac,2,Primaria,17915
15,Estado de México,15005,Almoloya de Juárez,1,Preescolar o Kínder,17884
15,Estado de México,15013,Atizapán de Zaragoza,5,Bachillerato Tecnológico o Normal Básica,17785
15,Estado de México,15103,Tlalmanalco,4,Preparatoria o Bachillerato General,17681
15,Estado de México,15021,Coatepec Harinas,3,Secundaria,17634
15,Estado de México,15007,Amanalco,2,Primaria,17631
15,Estado de México,15068,Ozumba,2,Primaria,17592
9,Ciudad de México,9003,Coyoacán,5,Bachillerato Tecnológico o Normal Básica,17524
15,Estado de México,15048,Jocotitlán,4,Preparatoria o Bachillerato General,17513
15,Estado de México,15082,Tejupilco,0,Ninguno,17364
15,Estado de México,15033,Ecatepec de Morelos,99,No especificado,17322
15,Estado de México,15025,Chalco,5,Bachillerato Tecnológico o Normal Básica,17299
15,Estado de México,15010,Apaxco,3,Secundaria,17253
9,Ciudad de México,9016,Miguel Hidalgo,7,Estudios Técnicos o Comerciales con Secundaria Terminada,17229
15,Estado de México,15033,Ecatepec de Morelos,13,Maestría,17221
15,Estado de México,15093,Tepetlaoxtoc,2,Primaria,17110
15,Estado de México,15059,Nextlalpan,4,Preparatoria o Bachillerato General,17101
9,Ciudad de México,9004,Cuajimalpa de Morelos,1,Preescolar o Kínder,17052
15,Estado de México,15026,Chapa de Mota,3,Secundaria,16894
15,Estado de México,15100,Tezoyuca,4,Preparatoria o Bachillerato General,16861
9,Ciudad de México,9002,Azcapotzalco,8,Estudios Técnicos o Comerciales con Preparatoria Terminada,16829
9,Ciudad de México,9005,Gustavo A. Madero,6,Estudios Técnicos o Comerciales con Primaria Terminada,16769
15,Estado de México,15104,Tlalnepantla de Baz,13,Maestría,16743
15,Estado de México,15010,Apaxco,2,Primaria,16439
15,Estado de México,15068,Ozumba,3,Secundaria,16433
9,Ciudad de México,9006,Iztacalco,8,Estudios Técnicos o Comerciales con Preparatoria Terminada,16407
9,Ciudad de México,9017,Venustiano Carranza,8,Estudios Técnicos o Comerciales con Preparatoria Terminada,16404
15,Estado de México,15028,Chiautla,3,Secundaria,16314
15,Estado de México,15051,Lerma,1,Preescolar o Kínder,16268
15,Estado de México,15087,Temoaya,0,Ninguno,16248
15,Estado de México,15016,Axapusco,3,Secundaria,16096
15,Estado de México,15110,Valle de Bravo,4,Preparatoria o Bachillerato General,16001
15,Estado de México,15109,Tultitlán,8,Estudios Técnicos o Comerciales con Preparatoria Terminada,15991
9,Ciudad de México,9016,Miguel Hidalgo,8,Estudios Técnicos o Comerciales con Preparatoria Terminada,15990
15,Estado de México,15047,Jiquipilco,4,Preparatoria o Bachillerato General,15956
9,Ciudad de México,9011,Tláhuac,7,Estudios Técnicos o Comerciales con Secundaria Terminada,15916
15,Estado de México,15056,Morelos,3,Secundaria,15877
15,Estado de México,15042,Ixtlahuaca,1,Preescolar o Kínder,15819
15,Estado de México,15075,San Martín de las Pirámides,3,Secundaria,15761
15,Estado de México,15024,Cuautitlán,1,Preescolar o Kínder,15689
15,Estado de México,15050,Juchitepec,2,Primaria,15649
9,Ciudad de México,9003,Coyoacán,14,Doctorado,15609
15,Estado de México,15051,Lerma,0,Ninguno,15564
15,Estado de México,15035,Huehuetoca,1,Preescolar o Kínder,15560
9,Ciudad de México,9007,Iztapalapa,6,Estudios Técnicos o Comerciales con Primaria Terminada,15552
